"행정구역(시군구)별","연령별","항목","단위","2025.04 월","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"서울특별시","26세","총인구수[명]","명","146902","149081","146554","148170","161550","165963","163318","164766","161356","158184","156937","149155",
"서울특별시","27세","총인구수[명]","명","157555","149143","150747","148420","150999","165471","170959","167478","167311","165476","161989","159528",
"서울특별시","28세","총인구수[명]","명","161196","154371","149027","150832","149562","153068","168286","172930","167850","169261","167679","162724",
"서울특별시","29세","총인구수[명]","명","166572","160789","152685","147863","150485","149846","153818","168990","171117","167854","169782","167077",
"서울특별시","30세","총인구수[명]","명","166002","160949","157894","150266","146573","149513","149445","153016","165879","169713","166912","168204",
"서울특별시","31세","총인구수[명]","명","164148","178753","157246","153975","148015","144453","148368","148131","149441","163226","167885","164677",
"서울특별시","32세","총인구수[명]","명","165795","189600","173624","152964","150838","144811","142549","146240","143987","146699","160863","165011",
"서울특별시","33세","총인구수[명]","명","160210","189980","183750","168317","149335","146839","141939","140184","141533","140897","144144","157803",
"서울특별시","34세","총인구수[명]","명","143778","185009","183947","177985","163855","144733","143557","138811","135161","138162","138171","141004",
"서울특별시","35세","총인구수[명]","명","136659","180177","179349","177958","173092","158638","141456","140377","133920","131564","135207","134863",
"서울특별시","36세","총인구수[명]","명","133394","151163","174632","173622","173138","167463","154667","137812","135712","130500","128904","132271",
"서울특별시","37세","총인구수[명]","명","126097","161742","146834","169579","169187","167486","163441","150721","133300","132133","127826","126247",
"서울특별시","38세","총인구수[명]","명","125400","157258","157347","142893","165335","163901","163787","159550","145727","130213","129669","125422",
"서울특별시","39세","총인구수[명]","명","126452","159035","153630","153415","139821","160933","160750","160264","154619","142701","127824","127163",
"서울특별시","40세","총인구수[명]","명","123613","171002","155619","150185","150481","136161","157941","157562","155766","151071","140499","125909",
"서울특별시","41세","총인구수[명]","명","135411","176138","167735","152306","147416","147034","133933","155036","153527","152769","149016","138603",
"서울특별시","42세","총인구수[명]","명","142684","179369","173327","164654","150031","144348","145000","131923","151396","150980","150876","147204",
"서울특별시","43세","총인구수[명]","명","149830","188637","176759","170558","162292","147229","142609","142835","128908","149020","149267","149164",
"서울특별시","44세","총인구수[명]","명","147503","182233","186030","174048","168414","159565","145629","140652","139969","127065","147369","147759",
"서울특별시","45세","총인구수[명]","명","147690","179622","179882","183494","171738","165782","157862","143585","137716","138082","125833","146004",
"서울특별시","46세","총인구수[명]","명","131607","175499","177490","177412","181275","169226","163865","155782","140733","135725","136639","124689",
"서울특별시","47세","총인구수[명]","명","132065","164275","173191","174932","175113","178517","167243","161763","152598","138672","134499","135402",
"서울특별시","48세","총인구수[명]","명","130899","151370","162165","170766","172711","172444","176438","165067","158526","150318","137417","133190",
"서울특별시","49세","총인구수[명]","명","134479","161324","149411","159817","168518","170068","170463","173977","161641","156004","148658","136026",
"서울특별시","50세","총인구수[명]","명","142218","161040","159261","147088","157576","166145","167963","168100","170243","159122","154267","147045",
